ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
363;GM0512;Gorinchem;PV28;Zuid-Holland;38842;126734.94206957475;427843.0064165197;21932312.842021022
367;GM0148;Dalfsen;PV23;Overijssel;30047;215377.67519761965;503376.76633724;166518037.11032164
379;GM1926;Pijnacker-Nootdorp;PV28;Zuid-Holland;58126;88741.66545307315;448126.22635635175;38616282.010556564
381;GM0503;Delft;PV28;Zuid-Holland;110173;84672.38338835377;446059.6450152809;24062231.99702496
386;GM0762;Deurne;PV30;Noord-Brabant;33387;185579.1800755981;383105.318516642;118355776.29864287
387;GM0173;Oldenzaal;PV23;Overijssel;32021;258920.666122853;481066.1131655148;21952700.726989005
394;GM0384;Diemen;PV27;Noord-Holland;33228;127962.60926588599;483341.47791780124;14037208.088352006
397;GM0275;Rheden;PV25;Gelderland;43782;200567.00263774054;449675.7462074644;84348352.32297969
403;GM0851;Steenbergen;PV30;Noord-Brabant;24567;81313.05714837134;401759.27368809783;159141883.4269545
408;GM1740;Neder-Betuwe;PV25;Gelderland;25781;168737.06837422287;436396.07978771196;67461073.85338295
410;GM0221;Doesburg;PV25;Gelderland;11125;207147.52930422084;448085.96555653535;12958308.417007506
411;GM0222;Doetinchem;PV25;Gelderland;60049;216823.34394876336;441755.8337895734;79655570.04276997
412;GM0797;Heusden;PV30;Noord-Brabant;46365;139305.3792765013;412023.2682262798;81219438.9492281
419;GM0766;Dongen;PV30;Noord-Brabant;27495;125110.3249084163;405314.55906139145;29739736.933672514
425;GM0230;Elburg;PV25;Gelderland;23903;186421.9102187984;491813.57799849065;65908363.18069553
426;GM0274;Renkum;PV25;Gelderland;31490;182313.13445591822;444655.5844318133;47233271.021601014
427;GM0505;Dordrecht;PV28;Zuid-Holland;122796;108191.48039516003;421645.2275914987;99467484.17208342
428;GM0826;Oosterhout;PV30;Noord-Brabant;58380;118785.67686766882;405566.22518405184;73086759.66817807
438;GM0453;Velsen;PV27;Noord-Holland;70026;102408.2224838627;496410.9694386425;63171173.35256651
444;GM1719;Drimmelen;PV30;Noord-Brabant;28295;111555.11548174483;412563.1879955771;119427597.31324771
455;GM0226;Duiven;PV25;Gelderland;24942;198381.15887249247;439977.2888619898;35187885.254726976
457;GM0770;Eersel;PV30;Noord-Brabant;20389;149948.61301523127;378595.5222190008;83325783.11030252
470;GM1711;Echt-Susteren;PV31;Limburg;32269;191505.89480827498;344074.5755953393;104619184.2792132
485;GM0317;Eemnes;PV26;Utrecht;9927;147862.38295013798;473766.50633037573;33702939.13339206
509;GM0772;Eindhoven;PV30;Noord-Brabant;249035;159958.6390154361;384566.4455773659;89362643.01080516
